Date,IE00BDBRDM35,LU3038520774,IE00BMG6Z448,FR0013416716,IE00BZ0PKT83,IE00B4L5Y983
2020-01-02,5.190999984741211,,,61.06399917602539,6.642000198364258,56.709999084472656
2020-01-03,5.203999996185303,,,61.91999816894531,6.614999771118164,56.630001068115234
2020-01-06,5.202000141143799,,,62.388999938964844,6.583000183105469,56.540000915527344
2020-01-07,5.197000026702881,,,62.698001861572266,6.638999938964844,56.900001525878906
2020-01-08,5.191999912261963,,,62.689998626708984,6.664000034332275,57.130001068115234
2020-01-09,5.182000160217285,,,61.909000396728516,6.690999984741211,57.47999954223633
2020-01-10,5.195000171661377,,,61.909000396728516,6.688000202178955,57.400001525878906
2020-01-13,5.186999797821045,,,61.909000396728516,6.681000232696533,57.34000015258789
2020-01-14,5.191999912261963,,,61.64899826049805,6.7170000076293945,57.619998931884766
2020-01-15,5.203000068664551,,,61.959999084472656,6.701000213623047,57.619998931884766
2020-01-16,5.201000213623047,,,61.97100067138672,6.734000205993652,57.849998474121094
2020-01-17,5.197999954223633,,,62.23500061035156,6.7870001792907715,58.310001373291016
2020-01-20,5.199999809265137,,,62.36899948120117,6.790999889373779,58.38999938964844
2020-01-21,5.210999965667725,,,62.23899841308594,6.785999774932861,58.27000045776367
2020-01-22,5.2129998207092285,,,62.18199920654297,6.810999870300293,58.41999816894531
2020-01-23,5.2270002365112305,,,62.59000015258789,6.7820000648498535,58.20000076293945
2020-01-24,5.232999801635742,,,62.808998107910156,6.824999809265137,58.47999954223633
2020-01-27,5.245999813079834,,,63.2400016784668,6.693999767303467,57.25
2020-01-28,5.241000175476074,,,62.69499969482422,6.76200008392334,57.849998474121094
2020-01-29,5.248000144958496,,,62.744998931884766,6.769000053405762,58.0099983215332
2020-01-30,5.25600004196167,,,63.24300003051758,6.678999900817871,57.31999969482422
2020-01-31,5.26200008392334,,,63.39400100708008,6.579999923706055,56.68000030517578
2020-02-03,5.25600004196167,,,63.013999938964844,6.63100004196167,57.040000915527344
2020-02-04,5.245999813079834,,,62.130001068115234,6.734000205993652,58.06999969482422
2020-02-05,5.23799991607666,,,62.2760009765625,6.807000160217285,58.59000015258789
2020-02-06,5.236999988555908,,,62.470001220703125,6.861000061035156,59.02000045776367
2020-02-07,5.250999927520752,,,62.53900146484375,6.836999893188477,59.02000045776367
2020-02-10,5.258999824523926,,,62.88600158691406,6.855000019073486,59.16999816894531
2020-02-11,5.255000114440918,,,62.53799819946289,6.908999919891357,59.619998931884766
2020-02-12,5.250999927520752,,,62.6619987487793,6.956999778747559,59.91999816894531
2020-02-13,5.25,,,62.917999267578125,6.956999778747559,60.16999816894531
2020-02-14,5.255000114440918,,,63.17599868774414,6.985000133514404,60.130001068115234
2020-02-17,5.25600004196167,,,63.19499969482422,7.011000156402588,60.310001373291016
2020-02-18,5.263000011444092,,,64.0,6.964000225067139,59.97999954223633
2020-02-19,5.261000156402588,,,64.11100006103516,7.0279998779296875,60.56999969482422
2020-02-20,5.269999980926514,,,64.81900024414062,6.979000091552734,59.849998474121094
2020-02-21,5.2769999504089355,,,65.51100158691406,6.9120001792907715,59.529998779296875
2020-02-24,5.291999816894531,,,66.83100128173828,6.71999979019165,57.54999923706055
2020-02-25,5.294000148773193,,,65.80500030517578,6.607999801635742,56.560001373291016
2020-02-26,5.289000034332275,,,65.44300079345703,6.572000026702881,56.400001525878906
2020-02-27,5.295000076293945,,,65.95500183105469,6.298999786376953,53.939998626708984
2020-02-28,5.308000087738037,,,63.452999114990234,5.99399995803833,51.619998931884766
2020-03-02,5.315999984741211,,,63.709999084472656,6.080999851226807,52.349998474121094
2020-03-03,5.328999996185303,,,65.36000061035156,6.13100004196167,52.9900016784668
2020-03-04,5.340000152587891,,,65.54399871826172,6.192999839782715,53.459999084472656
2020-03-05,5.339000225067139,,,66.33100128173828,6.197000026702881,53.02000045776367
2020-03-06,5.368000030517578,,,66.61499786376953,5.922999858856201,50.81999969482422
2020-03-09,5.377999782562256,,,66.61199951171875,5.567999839782715,47.244998931884766
2020-03-10,5.34499979019165,,,66.10800170898438,5.552999973297119,47.06999969482422
2020-03-11,5.326000213623047,,,65.84400177001953,5.545000076293945,47.349998474121094
2020-03-12,5.254000186920166,,,63.051998138427734,5.056000232696533,43.04499816894531
2020-03-13,5.175000190734863,,,60.779998779296875,5.039000034332275,43.540000915527344
2020-03-16,5.190000057220459,,,60.27199935913086,4.941500186920166,42.599998474121094
2020-03-17,5.105000019073486,,,61.310001373291016,5.01200008392334,43.2599983215332
2020-03-18,5.070000171661377,,,59.555999755859375,4.828999996185303,41.48500061035156
2020-03-19,5.073999881744385,,,58.834999084472656,4.926000118255615,42.60499954223633
2020-03-20,5.00600004196167,,,59.33599853515625,4.853000164031982,42.84000015258789
2020-03-23,5.11899995803833,,,61.952999114990234,4.640500068664551,40.23500061035156
2020-03-24,5.130000114440918,,,65.29000091552734,5.0229997634887695,43.540000915527344
2020-03-25,5.165999889373779,,,64.83799743652344,5.1529998779296875,44.72999954223633
2020-03-26,5.215000152587891,,,65.41799926757812,5.238999843597412,45.494998931884766
2020-03-27,5.230999946594238,,,65.2300033569336,5.111999988555908,44.39500045776367
2020-03-30,5.24399995803833,,,64.64299774169922,5.244999885559082,45.29999923706055
2020-03-31,5.235000133514404,,,64.36900329589844,5.302999973297119,46.150001525878906
2020-04-01,5.230999946594238,,,63.3390007019043,5.109000205993652,44.17499923706055
2020-04-02,5.235000133514404,,,64.37200164794922,5.111999988555908,44.41999816894531
2020-04-03,5.24399995803833,,,64.55699920654297,5.111000061035156,44.380001068115234
2020-04-06,5.236999988555908,,,65.69000244140625,5.355000019073486,46.334999084472656
2020-04-07,5.22599983215332,,,66.04299926757812,5.539999961853027,47.78499984741211
2020-04-08,5.224999904632568,,,65.91600036621094,5.535999774932861,47.70500183105469
2020-04-09,5.252999782562256,,,67.10399627685547,5.664999961853027,48.71500015258789
2020-04-14,5.284999847412109,,,69.26599884033203,5.671000003814697,48.95500183105469
2020-04-15,5.270999908447266,,,68.71299743652344,5.545000076293945,48.220001220703125
2020-04-16,5.289999961853027,,,68.89299774169922,5.616000175476074,48.70000076293945
2020-04-17,5.291999816894531,,,67.625,5.693999767303467,49.45000076293945
2020-04-20,5.270999908447266,,,67.61799621582031,5.723999977111816,49.81999969482422
2020-04-21,5.281000137329102,,,67.10900115966797,5.504000186920166,47.79999923706055
2020-04-22,5.289999961853027,,,68.30599975585938,5.605000019073486,48.93000030517578
2020-04-23,5.2729997634887695,,,69.1780014038086,5.686999797821045,49.58000183105469
2020-04-24,5.2870001792907715,,,68.39900207519531,5.625,49.10499954223633
2020-04-27,5.283999919891357,,,68.49600219726562,5.749000072479248,50.2400016784668
2020-04-28,5.288000106811523,,,67.99500274658203,5.839000225067139,50.560001373291016
2020-04-29,5.297999858856201,,,68.06999969482422,5.940999984741211,51.5099983215332
2020-04-30,5.306000232696533,,,68.02400207519531,5.790999889373779,50.540000915527344
2020-05-04,5.297999858856201,,,68.0719985961914,5.571000099182129,48.83000183105469
2020-05-05,5.315000057220459,,,67.8740005493164,5.741000175476074,50.47999954223633
2020-05-06,5.28000020980835,,,67.51899719238281,5.7230000495910645,50.2599983215332
2020-05-07,5.289999961853027,,,67.97799682617188,5.788000106811523,50.84000015258789
2020-05-08,5.302000045776367,,,68.41899871826172,5.788000106811523,51.130001068115234
2020-05-11,5.275000095367432,,,67.78199768066406,5.788000106811523,51.29999923706055
2020-05-12,5.281000137329102,,,68.18000030517578,5.824999809265137,51.20000076293945
2020-05-13,5.289999961853027,,,68.53500366210938,5.669000148773193,49.9900016784668
2020-05-14,5.293000221252441,,,69.14199829101562,5.669000148773193,49.35499954223633
2020-05-15,5.2870001792907715,,,69.67900085449219,5.640999794006348,49.72999954223633
2020-05-18,5.2870001792907715,,,69.26499938964844,5.880000114440918,51.54999923706055
2020-05-19,5.2829999923706055,,,69.45099639892578,5.875999927520752,51.310001373291016
2020-05-20,5.291999816894531,,,69.84500122070312,5.889999866485596,51.529998779296875
2020-05-21,5.304999828338623,,,68.75499725341797,5.889999866485596,51.029998779296875
2020-05-22,5.304999828338623,,,69.19999694824219,5.836999893188477,51.15999984741211
2020-05-25,5.307000160217285,,,69.12100219726562,5.836999893188477,52.15999984741211
2020-05-26,5.297999858856201,,,68.46700286865234,5.9720001220703125,52.18000030517578
2020-05-27,5.320000171661377,,,67.91400146484375,5.952000141143799,52.04999923706055
2020-05-28,5.311999797821045,,,68.71700286865234,6.021999835968018,52.810001373291016
2020-05-29,5.311999797821045,,,69.25399780273438,5.914000034332275,51.720001220703125
2020-06-01,5.302999973297119,,,69.5009994506836,5.995999813079834,52.540000915527344
2020-06-02,5.307000160217285,,,69.20999908447266,5.993000030517578,52.63999938964844
2020-06-03,5.291999816894531,,,67.8030014038086,6.085000038146973,53.5
2020-06-04,5.297999858856201,,,68.36100006103516,6.020999908447266,53.0099983215332
2020-06-05,5.2870001792907715,,,66.98500061035156,6.189000129699707,54.459999084472656
2020-06-08,5.291999816894531,,,67.54100036621094,6.195000171661377,54.54999923706055
2020-06-09,5.296000003814697,,,68.61399841308594,6.110000133514404,54.18000030517578
2020-06-10,5.295000076293945,,,68.5009994506836,6.081999778747559,54.040000915527344
2020-06-11,5.328000068664551,,,69.63999938964844,5.867000102996826,51.93000030517578
2020-06-12,5.322999954223633,,,69.16899871826172,5.830999851226807,51.91999816894531
2020-06-15,5.315000057220459,,,68.74800109863281,5.797999858856201,51.52000045776367
2020-06-16,5.315999984741211,,,68.9540023803711,6.001999855041504,53.29999923706055
2020-06-17,5.314000129699707,,,68.87999725341797,6.011000156402588,53.59000015258789
2020-06-18,5.335000038146973,,,68.81800079345703,5.98199987411499,53.369998931884766
2020-06-19,5.322000026702881,,,69.52899932861328,6.0329999923706055,53.779998779296875
2020-06-22,5.323999881744385,,,70.20500183105469,6.0329999923706055,53.119998931884766
2020-06-23,5.313000202178955,,,70.49099731445312,6.00600004196167,53.58000183105469
2020-06-24,5.318999767303467,,,70.48999786376953,6.00600004196167,52.2400016784668
2020-06-25,5.334000110626221,,,70.21199798583984,5.857999801635742,52.459999084472656
2020-06-26,5.329999923706055,,,70.4000015258789,5.869999885559082,52.22999954223633
2020-06-29,5.328000068664551,,,70.70800018310547,5.8979997634887695,52.2599983215332
2020-06-30,5.329999923706055,,,71.22200012207031,5.966000080108643,52.709999084472656
2020-07-01,5.317999839782715,,,70.35099792480469,5.939000129699707,53.040000915527344
2020-07-02,5.326000213623047,,,70.99199676513672,6.0320000648498535,53.81999969482422
2020-07-03,5.340000152587891,,,70.88300323486328,6.0320000648498535,53.5099983215332
2020-07-06,5.334000110626221,,,71.24700164794922,6.065999984741211,54.220001220703125
2020-07-07,5.328999996185303,,,71.62799835205078,6.065999984741211,54.150001525878906
2020-07-08,5.349999904632568,,,72.26499938964844,5.980000019073486,53.540000915527344
2020-07-09,5.335999965667725,,,71.89900207519531,5.946000099182129,53.31999969482422
2020-07-10,5.35099983215332,,,71.79499816894531,6.008999824523926,53.83000183105469
2020-07-13,5.333000183105469,,,72.08999633789062,6.084000110626221,54.63999938964844
2020-07-14,5.3460001945495605,,,72.22799682617188,5.992000102996826,53.630001068115234
2020-07-15,5.348999977111816,,,72.24099731445312,6.119999885559082,54.470001220703125
2020-07-16,5.354000091552734,,,72.05999755859375,6.10699987411499,54.09000015258789
2020-07-17,5.353000164031982,,,72.28800201416016,6.135000228881836,54.29999923706055
2020-07-20,5.359000205993652,,,72.45600128173828,6.1539998054504395,54.560001373291016
2020-07-21,5.370999813079834,,,73.43299865722656,6.181000232696533,54.88999938964844
2020-07-22,5.373000144958496,,,74.32499694824219,6.126999855041504,54.2599983215332
2020-07-23,5.375,,,75.64199829101562,6.176000118255615,54.400001525878906
2020-07-24,5.361000061035156,,,75.83100128173828,6.019999980926514,53.34000015258789
2020-07-27,5.375,,,77.3280029296875,5.986999988555908,53.0
2020-07-28,5.366000175476074,,,78.00499725341797,6.021999835968018,53.349998474121094
2020-07-29,5.369999885559082,,,78.16799926757812,6.021999835968018,53.27000045776367
2020-07-30,5.383999824523926,,,77.73300170898438,5.9670000076293945,52.7599983215332
2020-07-31,5.379000186920166,,,78.87999725341797,5.941999912261963,52.560001373291016
2020-08-03,5.375,,,78.68199920654297,6.078000068664551,53.7400016784668
2020-08-04,5.385000228881836,,,79.63899993896484,6.078000068664551,53.7400016784668
2020-08-05,5.374000072479248,,,81.76599884033203,6.076000213623047,53.689998626708984
2020-08-06,5.39300012588501,,,81.9489974975586,6.059000015258789,53.70000076293945
2020-08-07,5.385000228881836,,,81.1259994506836,6.10699987411499,54.13999938964844
2020-08-10,5.385000228881836,,,81.21800231933594,6.10699987411499,54.279998779296875
2020-08-11,5.354000091552734,,,77.6449966430664,6.195000171661377,54.810001373291016
2020-08-12,5.349999904632568,,,77.45600128173828,6.2129998207092285,55.029998779296875
2020-08-13,5.354000091552734,,,77.67400360107422,6.182000160217285,54.84000015258789
2020-08-14,5.3480000495910645,,,77.62000274658203,6.177000045776367,54.650001525878906
2020-08-17,5.360000133514404,,,79.19200134277344,6.185999870300293,54.689998626708984
2020-08-18,5.354000091552734,,,79.78700256347656,6.185999870300293,54.5
2020-08-19,5.357999801635742,,,78.31600189208984,6.166999816894531,54.810001373291016
2020-08-20,5.360000133514404,,,77.77999877929688,6.132999897003174,54.58000183105469
2020-08-21,5.35699987411499,,,77.36000061035156,6.1539998054504395,54.93000030517578
2020-08-24,5.35099983215332,,,77.13999938964844,6.203999996185303,55.43000030517578
2020-08-25,5.335000038146973,,,76.55699920654297,6.179999828338623,55.41999816894531
2020-08-26,5.329999923706055,,,77.59400177001953,6.206999778747559,55.90999984741211
2020-08-27,5.328000068664551,,,76.65899658203125,6.23199987411499,56.31999969482422
2020-08-28,5.322000026702881,,,78.65299987792969,6.23199987411499,55.84000015258789
2020-08-31,5.322999954223633,,,78.5,6.23199987411499,55.599998474121094
2020-09-01,5.340000152587891,,,78.81600189208984,6.169000148773193,55.83000183105469
2020-09-02,5.355000019073486,,,77.58000183105469,6.302000045776367,56.810001373291016
2020-09-03,5.361000061035156,,,76.83599853515625,6.181000232696533,55.790000915527344
2020-09-04,5.3470001220703125,,,76.7959976196289,6.057000160217285,54.56999969482422
2020-09-07,5.34499979019165,,,77.03399658203125,6.057000160217285,55.380001068115234
2020-09-08,5.35099983215332,,,76.94499969482422,6.057000160217285,54.400001525878906
2020-09-09,5.340000152587891,,,77.66600036621094,6.099999904632568,55.0
2020-09-10,5.340000152587891,,,78.16699981689453,6.083000183105469,54.79999923706055
2020-09-11,5.349999904632568,,,77.82099914550781,6.058000087738037,54.400001525878906
2020-09-14,5.360000133514404,,,78.25900268554688,6.090000152587891,54.880001068115234
2020-09-15,5.35699987411499,,,77.927001953125,6.158999919891357,55.349998474121094
2020-09-16,5.359000205993652,,,78.60299682617188,6.183000087738037,55.52000045776367
2020-09-17,5.36899995803833,,,77.69000244140625,6.11899995803833,54.81999969482422
2020-09-18,5.363999843597412,,,77.9209976196289,6.072000026702881,54.29999923706055
2020-09-21,5.364999771118164,,,75.43199920654297,5.947000026702881,53.15999984741211
2020-09-22,5.361000061035156,,,75.81999969482422,6.005000114440918,53.810001373291016
2020-09-23,5.357999801635742,,,74.47100067138672,6.066999912261963,54.25
2020-09-24,5.3520002365112305,,,74.48600006103516,5.999000072479248,53.61000061035156
2020-09-25,5.353000164031982,,,74.427001953125,6.0370001792907715,54.0
2020-09-28,5.3520002365112305,,,74.73799896240234,6.176000118255615,55.119998931884766
2020-09-29,5.355999946594238,,,75.52400207519531,6.138000011444092,54.63999938964844
2020-09-30,5.343999862670898,,,75.77200317382812,6.171000003814697,54.93000030517578
2020-10-01,5.3480000495910645,,,76.26300048828125,6.177999973297119,55.060001373291016
2020-10-02,5.3470001220703125,,,76.06999969482422,6.172999858856201,54.849998474121094
2020-10-05,5.3470001220703125,,,76.40899658203125,6.23799991607666,55.25
2020-10-06,5.340000152587891,,,76.24700164794922,6.252999782562256,55.400001525878906
2020-10-07,5.341000080108643,,,75.36399841308594,6.2829999923706055,55.5099983215332
2020-10-08,5.35099983215332,,,75.33300018310547,6.329999923706055,55.90999984741211
2020-10-09,5.3480000495910645,,,76.88300323486328,6.355000019073486,56.13999938964844
2020-10-12,5.348999977111816,,,76.69200134277344,6.425000190734863,56.970001220703125
2020-10-13,5.368000030517578,,,75.57499694824219,6.436999797821045,57.11000061035156
2020-10-14,5.360000133514404,,,76.20600128173828,6.436999797821045,56.880001068115234
2020-10-15,5.363999843597412,,,75.99199676513672,6.38100004196167,56.31999969482422
2020-10-16,5.364999771118164,,,75.79199981689453,6.442999839782715,56.79999923706055
2020-10-19,5.364999771118164,,,76.06400299072266,6.377999782562256,56.310001373291016
2020-10-20,5.359000205993652,,,76.22000122070312,6.336999893188477,55.65999984741211
